"Burger.in",350,28.53538174,77.19692286
"Days of the Raj",1500,28.53549308,77.19747473
"Dilli Ka Dhaba",500,28.5375472,77.1980333
"Govardhan",500,28.5355234,77.1969242
"Mezbaan Grills",400,28.5381335,77.1981225
"Say Cheese",400,28.53744768,77.19815936
"Southy",450,28.53747419,77.19795015
"Monosoz",300,28.53839431,77.19804244
"Waves",1500,28.5386662,77.1988082
"Delhi Darbar",500,28.53576259,77.19696745
"Chateau",1600,28.53565508,77.19679244
"Nariyal Cafe",1200,28.538438,77.199152
"Rustom's Parsi Bhonu",1500,28.53789627,77.19815668
"BarShala",600,28.6557549,77.3006287
"Chawla's_",800,28.6560516,77.3011977
"Domino's Pizza",700,28.6564531,77.3016337
"Sultanat",1000,28.6562624,77.3016026
"Bella Italia",550,28.554463,77.087897
"Clever Fox Cafe",900,28.55169,77.120642
"365 Naturals",600,28.554463,77.087897
"Tpot",800,28.554463,77.087897
"4 on 44 Restaurant & Bar",1000,28.6901424,77.1346226
"Rambhog",200,28.6900143,77.1345554
"Selfie Lounge Restro & Bar",1500,28.68990208,77.13477239
"BTW",400,28.7003322,77.1177269
"Chilli Pepper",900,28.7006401,77.1176394
"Pizza Hut",1000,28.7006935,77.1172629
"Puri Bakers",300,28.7004868,77.1175742
"Jaiveer Naan & Chaap",500,28.7004261,77.1176368
"Aggarwal's Sweets Paradise",400,28.52497428,77.2542078
"Bikaner Sweets",200,28.5253209,77.2542551
"Cafe Coffee Day",450,28.52813297,77.25014627
"Chandra Sweets",400,28.5255719,77.2540557
"Chhotu Mashhoor Kathi Roll",150,28.52569245,77.25411225
"Green Chick Chop",350,28.52810941,77.24689879
"Lazeez Restaurant",600,28.5256646,77.2545694
"Madhuvan Chinese Fast Food",300,28.52560319,77.2532459
"Mr Wong",800,28.525675,77.249793
"Mughlai Shahi Rasoi",600,28.5253274,77.253851
"Mumbai Central Street Food",400,28.52774267,77.24780235
"Neha's Treat",450,28.5257928,77.2540306
